"floors","rooms","width","length","size","area_name","region_name","price","living_size","toilets","ward_name","direction","directionNumber","balconydirection","balconydirectionNumber"
"","2","","","61","Huyện Nhà Bè","Tp Hồ Chí Minh","1650000000","0","1","Xã Phước Kiển","","6","","5"
"","2","","","76","Quận Bình Thạnh","Tp Hồ Chí Minh","2350000000","0","2","Phường 26","","0","","0"
"","3","","","95.2","Quận 8","Tp Hồ Chí Minh","2300000000","0","2","Phường 16","","1","","2"
"","1","","","49","Quận Bình Tân","Tp Hồ Chí Minh","1350000000","0","1","Phường Tân Tạo A","","0","","0"
"","2","","","62","Thành phố Thủ Đức","Tp Hồ Chí Minh","4250000000","0","2","Phường Thảo Điền (Quận 2 cũ)","","0","","0"
"","1","","","100","Thành phố Dĩ An","Bình Dương","8900000000","0","1","Phường An Bình","","0","","0"
"","3","","","78","Quận 8","Tp Hồ Chí Minh","3150000000","0","2","Phường 6","","0","","0"
"","2","","","52","Huyện Bình Chánh","Tp Hồ Chí Minh","850000000","0","2","Xã An Phú Tây","","0","","0"
"","2","","","54","Thành phố Thủ Đức","Tp Hồ Chí Minh","1800000000","0","2","Phường Bình Trưng Đông (Quận 2 cũ)","","0","","0"
"","3","","","80.43","Quận 8","Tp Hồ Chí Minh","2050000000","0","2","Phường 7","","7","","6"
"","2","","","50","Huyện Hóc Môn","Tp Hồ Chí Minh","930000000","0","2","Xã Xuân Thới Đông","","0","","0"
"","2","","","75","Thành phố Dĩ An","Bình Dương","2300000000","0","2","Phường An Bình","","0","","0"
"","2","","","81","Quận 4","Tp Hồ Chí Minh","1570000000","0","2","Phường 1","","0","","0"
"","2","","","45","Quận Tân Phú","Tp Hồ Chí Minh","1690000000","0","1","Phường Tân Quý","","2","","6"
"","2","","","66","Quận 7","Tp Hồ Chí Minh","3440000000","0","0","Phường Tân Thuận Tây","","0","","0"
"","2","","","69","Quận 7","Tp Hồ Chí Minh","2270000000","0","2","Phường Phú Thuận","","0","","0"
"","2","","","69","Thành phố Thủ Đức","Tp Hồ Chí Minh","3800000000","0","2","Phường An Phú (Quận 2 cũ)","","0","","0"
"","1","","","42","Thành phố Thuận An","Bình Dương","1200000000","0","1","Phường Thuận Giao","","2","","1"
"","2","","","92","Quận Tân Phú","Tp Hồ Chí Minh","4900000000","0","2","Phường Sơn Kỳ","","0","","0"
"","2","","","56.6","Thành phố Thủ Đức","Tp Hồ Chí Minh","1620000000","0","1","Phường Cát Lái (Quận 2 cũ)","","0","","6"
"","2","","","83","Quận 6","Tp Hồ Chí Minh","2650000000","0","0","Phường 11","","0","","3"
"","2","","","90","Quận 4","Tp Hồ Chí Minh","3200000000","0","2","Phường 13","","0","","0"
"","1","","","100","Thành phố Dĩ An","Bình Dương","9000000000","0","1","Phường An Bình","","3","Hướng Nam","3"
"","2","","","60","Quận 10","Tp Hồ Chí Minh","1630000000","0","2","Phường 14","","0","","0"
"","3","","","83","Huyện Bình Chánh","Tp Hồ Chí Minh","3400000000","0","2","Xã Bình Hưng","","0","","3"
"","3","","","80","Quận Bình Thạnh","Tp Hồ Chí Minh","2100000000","0","2","Phường 22","","0","","0"
"","2","","","65","Huyện Bình Chánh","Tp Hồ Chí Minh","1930000000","0","2","Xã Phong Phú","","0","","5"
"","2","","","80","Quận 3","Tp Hồ Chí Minh","1750000000","0","2","Phường Võ Thị Sáu","","0","","0"
"","3","","","140","Quận Bình Thạnh","Tp Hồ Chí Minh","1860000000","0","2","Phường 22","","0","","0"
